name,year,song_name,performed_by
The Prestige,2006,Analyse,Thom Yorke
Casablanca,1942,La Marseillaise,
Casablanca,1942,It Had to Be You,Dooley Wilson (piano dubbed by Jean Vincent Plummer) Also played when Laszlo and Ilsa return to Rick's
Casablanca,1942,Shine,Dooley Wilson during the opening scene at Rick's (piano dubbed by Jean Vincent Plummer)
Casablanca,1942,Crazy Rhythm,
Casablanca,1942,Knock on Wood,Dooley Wilson and band (piano dubbed by Jean Vincent Plummer)
Casablanca,1942,The Very Thought of You,
Casablanca,1942,Baby Face,Dooley Wilson when Renault tells Rick that there's going to be an arrest (piano dubbed by Jean Vincent Plummer)
Casablanca,1942,I'm Just Wild About Harry,
Casablanca,1942,Heaven Can Wait,
Casablanca,1942,Parlez-moi d'Amour,
Casablanca,1942,Love for Sale,
Casablanca,1942,Tango Delle Rose,Corinna Mura (vocal and guitar)
Casablanca,1942,Avalon,Dooley Wilson while talking to Ilsa (piano dubbed by Jean Vincent Plummer)
Casablanca,1942,As Time Goes By,Dooley Wilson (piano dubbed by Jean Vincent Plummer) Variations played often in the score
Casablanca,1942,Piano Improvisation,Dooley Wilson after trying to talk Rick into leaving (piano dubbed by Jean Vincent Plummer)
Casablanca,1942,Perfidia,
Casablanca,1942,If I Could Be with You,
Casablanca,1942,You Must Have Been a Beautiful Baby,
Casablanca,1942,Die Wacht am Rhein,
Casablanca,1942,Das Lied der Deutschen,
Whiplash,2014,Overture,
Whiplash,2014,Black Girls,Chester French
Whiplash,2014,Keep Me Waiting,Dana Williams
Whiplash,2014,Reaction,
Whiplash,2014,1st Nassau Band Rehearsal,
Whiplash,2014,Studio Band Eavesdrop,
Whiplash,2014,Cathy's Song,
Whiplash,2014,2nd Nassau Rehearsal,
Whiplash,2014,Whiplash,
Whiplash,2014,When I Wake,
Whiplash,2014,Studio Band Rehearsal After Breakup,
Whiplash,2014,Overbrook Competition,
Whiplash,2014,Casey's Song,
Whiplash,2014,Caravan,
Whiplash,2014,Fletcher's Song in Club,
Whiplash,2014,Intoit,
Whiplash,2014,No Two Words,
Whiplash,2014,Upswingin',
